Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Thor,Jacobsen,Lundestykket 59,Berge,2657,Norge,NO,19750915-4900,+47,93706299,1975-09-15,True
Oscar,Hansson,Parktorget 3,Västerås,68569,Sverige,SE,19701011-1203,+46,010-469 32 85,1970-10-11,True
Ronald,Murray,Petersen Throughway 7165,Lake Edwardhaven,67109,Norge,DK,19900107-9417,+45,390-696-1697x53527,1990-01-07,True
Justin,Russell,Banks Drive 22037,Lake Rebeccaborough,44688,Danmark,DK,19470523-9313,+45,3518198230,1947-05-23,True
Ingrid,Persson,Kvarnstigen 487,Motala,78165,Sverige,SE,19430719-2893,+46,0364-39 53 83,1943-07-19,True
Erling,Persson,Strandstigen 79,Lidköping,30795,Sverige,SE,19750216-9138,+46,08-257 997 50,1975-02-16,True
Catherine,Burke,Swanson Key 566,North Shannon,95729,Danmark,DK,19431003-9250,+45,(327)453-4926x46038,1943-10-03,True
Ingela,Lindgren,Fabriksvägen 99,Karlskrona,63418,Sverige,SE,19410827-2526,+46,08-504 375 61,1941-08-27,True
Elliot,Johansson,Aspstigen 339,Växjö,87940,Sverige,SE,19710501-1088,+46,030-862 90 67,1971-05-01,True
Sirpa,Seppänen,Ylänköpolku 679,Lempäälä,50287,Finland,FI,19530515-1012,+358,(+358) 529468965,1953-05-15,True
Andreas,Bakke,Eriksenvika 65,Næss,9689,Norge,NO,19540404-4465,+47,57 90 83 56,1954-04-04,True
Viktoria,Gustafsson,Kyrkgatan 5,Lidköping,32607,Sverige,SE,19740202-2817,+46,0288-63 11 61,1974-02-02,True
Robin,Barnes,Kaitlyn Crossroad 49781,Lisaton,24278,Danmark,DK,19840209-4421,+45,690-510-8468x53984,1984-02-09,True
Grete,Jakobsen,Engenbråten 3C,Knutsen,3000,Norge,NO,19920704-2031,+47,24122951,1992-07-04,True
Mikael,Brink,Stationsgatan 02,Lund,60516,Sverige,SE,19651006-7678,+46,0492-76 83 21,1965-10-06,True
Noah,Mohamed,Parktorget 33,Skövde,99161,Sverige,SE,19650406-1416,+46,0471-43 97 72,1965-04-06,True
Eli,Andreassen,Liestykket 9C,Sigridstrøm,9018,Norge,NO,19400422-5761,+47,40850366,1940-04-22,True
Stella,Lundmark,Järnvägsvägen 2,Lund,57236,Sverige,SE,19450124-4034,+46,08-60 08 42,1945-01-24,True
Nicklas,Hassan,Skogsgatan 4,Uppsala,57372,Sverige,SE,19410517-9482,+46,+46 (0)65 63 06 33,1941-05-17,True
Knut,Larsson,Backgatan 594,Nyköping,35269,Sverige,SE,19401130-4165,+46,0303-11 95 99,1940-11-30,True
Michael,Andersson,Industrigatan 54,Eskilstuna,17686,Sverige,SE,19750915-0814,+46,+46 (0)8 779 584 22,1975-09-15,True
Lars,Hussein,Skolgränd 2,Ängelholm,54725,Sverige,SE,19601121-0397,+46,08-424 80 57,1960-11-21,True
Regina,Zhang,Strandstigen 7,Skellefteå,74798,Sverige,SE,19470211-2377,+46,095-766 36 69,1947-02-11,True
Jørgen,Myhre,Sivertsengropa 8,Unniøy,3774,Norge,NO,19470206-9775,+47,79307340,1947-02-06,True
Antero,Ranta,Caloniuksenbulevardi 498,Kangasniemi,09572,Finland,FI,19601202-552E,358,(+358) 614966452,1960-12-02,True
Ragnhild,Berge,Eidevollen 5,Martinfoss,4877,Norge,NO,19810419-1976,+47,22 50 10 05,1981-04-19,True
Jerry,Ramsey,Davis Wall 047,Thompsonstad,17767,Danmark,DK,19880902-6025,+45,(873)228-8589x608,1988-09-02,True
Brandon,Jefferson,Miller Centers 46069,New Katherineburgh,22858,Danmark,DK,19880412-8415,+45,787.643.1399x425,1988-04-12,True
Jan,Ek,Backtorget 34,Linköping,82161,Sverige,SE,19550627-9005,+46,062-296 65 87,1955-06-27,True
Marius,Ali,Christensenvika 736,Håvardstad,9251,Norge,NO,19740815-3728,+47,67501053,1974-08-15,True
Per,Lind,Granvägen 36,Luleå,64383,Sverige,SE,19710131-3812,+46,0406-932 37,1971-01-31,True
Linda,Karhunen,Ylipalonpolku 34,Hanko,13944,Finland,FI,19960727-008D,+358,(+358) 088651113,1996-07-27,True
Helge,Lien,Haugekra 5,Hannadal,1254,Norge,NO,19900803-1405,+47,35 83 91 80,1990-08-03,True
John,Pettersson,Trädgårdsvägen 3,Skövde,11457,Sverige,SE,19790324-0134,+46,+46 (0)8 833 216 76,1979-03-24,True
Siri,Pedersen,Strandhøgda 9,Astriddal,0938,Norge,NO,19670119-2192,+47,16 67 37 82,1967-01-19,True
Gunilla,Nilsson,Ekvägen 43,Eskilstuna,78534,Sverige,SE,19930916-5914,+46,0759-013 59,1993-09-16,True
Heidi,Carrillo,David Loop 01678,New Bethstad,38209,Danmark,DK,19510411-6455,+45,244-939-9720x981,1951-04-11,True
Sanna,Green,Åkergatan 780,Norrköping,85909,Sverige,SE,19450110-6594,+46,08-505 307 17,1945-01-10,True
Tore,Henriksen,Kristoffersengjerdet 04,Danielsen,1792,Norge,NO,19970420-9616,+47,05664434,1997-04-20,True
Maren,Jørgensen,Strømlyngen 90D,Dahl,8361,Norge,NO,19400829-0568,+47,472 52 695,1940-08-29,True
Bente,Dahl,Engenkroken 74,Lie,5106,Norge,NO,19980716-5463,+47,+47 83 44 01 37,1998-07-16,True
Yvonne,Roth,Strandgatan 90,Trelleborg,27044,Sverige,SE,19510112-8732,+46,0756-52 04 44,1951-01-12,True
Eva,Forslund,Storgatan 744,Trelleborg,44885,Sverige,SE,19480613-2649,+46,+46 (0)8 285 999 12,1948-06-13,True
Thomas,Campbell,Tyler Squares 383,Sarahfurt,43942,Danmark,DK,19650805-3030,+45,405-578-2917,1965-08-05,True
Gunnar,Isaksen,Moenvollen 70,Håkongrunn,1012,Norge,NO,19700715-4428,+47,952 61 459,1970-07-15,True
Alexander,Larsson,Parkgatan 12,Växjö,33748,Sverige,SE,19591229-9965,+46,08-810 03 78,1959-12-29,True
Lina,Blixt,Villagränd 115,Norrköping,65821,Sverige,SE,19880321-9386,+46,+46 (0)089 341 27,1988-03-21,True
Astrid,Magnusson,Åkerstigen 475,Lidingö,87711,Sverige,SE,19670324-2358,+46,056-59 98 42,1967-03-24,True
Mats,Eklund,Furuvägen 2,Södertälje,40621,Sverige,SE,19720120-7007,+46,08-800 159 93,1972-01-20,True
Timothy,Johnson,Jenkins Locks 9156,Joneston,79724,Danmark,DK,19730316-1932,+45,+1-585-867-8738x8200,1973-03-16,True
Maria,Lie,Madsenalléen 2E,Gerdsund,2867,Norge,NO,19840311-2241,+47,43593896,1984-03-11,True
Elisabet,Dahlgren,Skoltorget 680,Luleå,91777,Sverige,SE,19530206-4692,+46,08-249 603 50,1953-02-06,True
Benny,Törnqvist,Idrottsgränd 2,Karlskrona,26068,Sverige,SE,19630210-8514,+46,065-32 76 86,1963-02-10,True
Sebastian,Johansson,Gengatan 5,Trelleborg,43698,Sverige,SE,19650114-7051,+46,+46 (0)8 352 271 31,1965-01-14,True
John,Zimmerman,Cindy Cove 758,East Joshua,33990,Danmark,DK,19451128-3592,+45,+1-438-726-0732,1945-11-28,True
Carrie,Jones,Kathleen Mountains 4445,East Beckyhaven,43870,Danmark,DK,19820514-3205,+45,001-539-653-0218x39216,1982-05-14,True
Heather,Cherry,Jessica Ways 610,Pittsborough,36018,Danmark,DK,19661119-8855,+45,001-402-779-5257x7809,1966-11-19,True
Johan,Strand,Madsentunet 8,Hanssen,0117,Norge,NO,19550331-5984,+47,88149282,1955-03-31,True
Anders,Lundberg,Aspvägen 8,Skellefteå,68426,Sverige,SE,19460323-4319,+46,0695-65 17 06,1946-03-23,True
Jon,Jakobsen,Martinseneggen 846,Sandvik,6115,Norge,NO,19610925-1805,+47,79 46 39 44,1961-09-25,True
Torbjörn,Bergqvist,Granvägen 539,Södertälje,12355,Sverige,SE,19710409-9479,+46,+46 (0)8 754 381 33,1971-04-09,False
Ruben,Sherman,Julia Field 61313,Pattytown,28395,Danmark,DK,19911023-0757,+45,(342)294-5431,1991-10-23,True
Erik,Clark,Joe Greens 766,Williamschester,87640,Danmark,DK,19750719-0092,+45,2223102832,1975-07-19,True
Stian,Thorsen,Solheimvollen 4,Linesand,0019,Norge,NO,19641206-9249,+47,98196305,1964-12-06,True
Ann-Sofie,Oskarsson,Fabriksvägen 987,Växjö,62019,Sverige,SE,19501003-7792,+46,088-950 66 32,1950-10-03,True
Erling,Moen,Antonsentunet 1,Rønning,9132,Norge,NO,19480828-0542,+47,49972059,1948-08-28,True
Berit,Halvorsen,Antonsenbakken 85,Jenssen,9447,Norge,NO,19540524-3744,+47,40228904,1954-05-24,True
Lars-Göran,Gustafsson,Gengatan 198,Uppsala,17445,Sverige,SE,19980927-3132,+46,054-799 43 22,1998-09-27,True
Linda,Lindvall,Genstigen 27,Borås,66804,Sverige,SE,19930304-0343,+46,0474-185 62,1993-03-04,True
Ingemar,Johansson,Kyrkostigen 616,Eskilstuna,77594,Sverige,SE,19870306-9656,+46,08-95 04 12,1987-03-06,True
Viveka,Jörgensen,Grantorget 46,Trollhättan,40625,Sverige,SE,19780228-6024,+46,094-738 51 27,1978-02-28,True
Lauren,Holmes,Adams Parkways 154,Mcbrideborough,47303,Danmark,DK,19850818-6923,+45,001-383-618-1228x6741,1985-08-18,True
Ingela,Karlsson,Strandstigen 78,Halmstad,62122,Sverige,SE,19651230-4222,+46,099-797 63 02,1965-12-30,True
Rhonda,Thomas,Kenneth Vista 319,Victorialand,04137,Danmark,DK,19950829-1179,+45,(947)958-3871,1995-08-29,True
Dennis,Henriksson,Industrigatan 32,Stockholm,43154,Sverige,SE,19601029-1211,+46,0278-99 53 32,1960-10-29,True
Elise,Eliassen,Jacobsenrøa 8B,Abrahamsen,3527,Norge,NO,19760206-6342,+47,41 39 34 86,1976-02-06,True
Ludwig,Sundell,Backgatan 7,Piteå,34111,Sverige,SE,19610420-2300,+46,08-85 29 92,1961-04-20,True
Sven,Johansson,Industritorget 60,Gävle,12735,Sverige,SE,19740628-9875,+46,072-941 70 91,1974-06-28,True
Ann,Backlund,Järnvägstorget 085,Borlänge,28654,Sverige,SE,19541217-3722,+46,094-028 29 04,1954-12-17,True
Melissa,Schmidt,Albert Skyway 84747,South Joshua,37366,Danmark,DK,19540114-6565,+45,+1-701-356-6171x73643,1954-01-14,True
Tom,Haugland,Vikstykket 11B,Andresen,3497,Norge,NO,19661029-0873,+47,+47 16 49 72 92,1966-10-29,True
Christina,Löfgren,Skolgränd 31,Göteborg,95728,Sverige,SE,19870306-4196,+46,0451-181 87,1987-03-06,True
John,Thompson,Stephen Summit 70564,Bradleyport,55115,Danmark,DK,19431025-7133,+45,902-459-6652x538,1943-10-25,True
Anneli,Jokela,Usvabulevardi 03,Enontekiö,58551,Finland,FI,19410601-559T,+358,(+358) 282140706,1941-06-01,True
Emilia,Venäläinen,Ahdekaunokinbulevardi 61,Jomala,60067,Finland,FI,19870828-135H,+358,007 335 7718,1987-08-28,True
Gustav,Karlsson,Backgatan 445,Piteå,52800,Sverige,SE,19971031-6742,+46,022-074 61 66,1997-10-31,True
Valerie,Boyd,Arellano Port 75475,New Vicki,62260,Danmark,DK,19570303-7265,+45,+1-336-502-1469x2565,1957-03-03,True
Jorunn,Johannessen,Christensenlyngen 2B,Tommyø,6797,Norge,NO,19940609-8684,+47,+47 40 30 09 11,1994-06-09,True
Solveig,Sørensen,Andreassentunet 32,Andresen,4374,Norge,NO,19790310-3402,+47,961 44 742,1979-03-10,True
Håvard,Iversen,Dahlløkka 179,Aas,4174,Norge,NO,19820623-0582,+47,37698230,1982-06-23,True
Regina,Garcia,Terrence Mountains 8118,West Jessica,92654,Danmark,DK,19881222-6695,+45,3634312671,1988-12-22,True
Rebecka,Larsson,Industrigatan 183,Skellefteå,35854,Sverige,SE,19640722-2769,+46,+46 (0)8 432 011 59,1964-07-22,True
Brittany,Myers,Tina Road 078,East Michael,53856,Danmark,DK,19840717-3699,+45,208-671-8716,1984-07-17,True
Ann,Mohamed,Skoltorget 25,Alingsås,14856,Sverige,SE,19580401-4987,+46,08-480 80 57,1958-04-01,True
Randi,Birkeland,Bergeekra 11,Dahl,9177,Norge,NO,19490916-2720,+47,60718267,1949-09-16,True
Eva,Nielsen,Thorsenløkka 19C,Solheim,2001,Norge,NO,19970602-9937,+47,86300628,1997-06-02,True
Cecilia,Möller,Backvägen 56,Umeå,67336,Sverige,SE,19530125-2269,+46,+46 (0)57 57 13 21,1953-01-25,True
Ronnie,Persson,Idrottsgatan 572,Piteå,31755,Sverige,SE,19900806-3511,+46,+46 (0)8 565 603 89,1990-08-06,True
Hampus,Magnusson,Parkgränd 995,Örnsköldsvik,92603,Sverige,SE,19430520-5450,+46,08-256 36 61,1943-05-20,True
Linnea,Blomqvist,Grangatan 038,Umeå,44760,Sverige,SE,19490714-1123,+46,080-56 38 87,1949-07-14,True
Yusuf,Nilsson,Strandstigen 696,Motala,98378,Sverige,SE,19741223-1347,+46,004-85 18 82,1974-12-23,True
Helene,Christensen,Berntsenvollen 21,Andersen,7701,Norge,NO,20000603-0731,+47,+47 15 68 98 02,2000-06-03,True
Lars,Chen,Aspgatan 3,Lidingö,29262,Sverige,SE,19470801-2526,+46,08-632 78 68,1947-08-01,True
Svea,Johansson,Kvarnstigen 27,Västerås,15270,Sverige,SE,19671027-1566,46,+46 (0)892 284 24,1967-10-27,True
Christian,Lien,Jensenvollen 6,Olsen,6835,Norge,NO,19401014-4735,+47,42704384,1940-10-14,True
Anna,Nielsen,Larsenlia 57,Berg,2082,Norge,NO,19770618-6474,+47,93639422,1977-06-18,True
Nova,Liljegren,Skolvägen 5,Östersund,46404,Sverige,SE,19940130-3983,+46,042-37 71 30,1994-01-30,True
Linus,Olsson,Villatorget 8,Varberg,84500,Sverige,SE,19691015-2204,+46,0961-120 88,1969-10-15,True
Elisabeth,Eriksson,Ängsgränd 35,Motala,12487,Sverige,SE,19850305-1790,+46,0379-014 02,1985-03-05,True
Kjersti,Næss,Hansenhaugen 8,Moen,2862,Norge,NO,20000305-7311,+47,83128149,2000-03-05,True
Lars,Johansson,Skogstorget 34,Lidingö,65709,Sverige,SE,19770202-4711,+46,08-330 44 15,1977-02-02,True
Hannah,Larsson,Skolgatan 603,Östersund,32312,Sverige,SE,19540405-8461,+46,08-62 84 36,1954-04-05,True
Kristine,Aas,Hansenkollen 6,Isaksen,3833,Norge,NO,19860227-9660,+47,490 61 193,1986-02-27,True
Anna,Andersson,Parkgränd 891,Norrköping,93963,Sverige,SE,19570115-1854,+46,0668-43 59 76,1957-01-15,True
Eleonora,Sköld,Furuvägen 887,Örnsköldsvik,22813,Sverige,SE,19470220-1472,+46,08-87 39 19,1947-02-20,True
Elisabeth,Jonasson,Åkerstigen 0,Helsingborg,16259,Sverige,SE,19700707-4491,+46,085-329 28 94,1970-07-07,True
Greta,Sandberg,Järnvägsvägen 294,Nyköping,22532,Sverige,SE,19580622-0419,+46,059-915 38 66,1958-06-22,True
Henrik,Kristoffersen,Nygårdberget 5,Markusvær,2485,Norge,NO,19520920-5133,+47,942 14 821,1952-09-20,True
Ove,Andersson,Kyrkgränd 2,Göteborg,96554,Sverige,SE,19821224-9456,+46,0496-900 66,1982-12-24,True
Henrik,Brekke,Hanssenjordet 9,Andersen,5086,Norge,NO,19990708-2990,+47,+47 83 72 09 32,1999-07-08,True
Gun,Arvidsson,Nygränd 91,Nyköping,77372,Sverige,SE,19751210-8593,+46,+46 (0)8 291 145 40,1975-12-10,True
Maria,Johansson,Parkvägen 786,Jönköping,76737,Sverige,SE,19930530-8078,+46,024-10 57 75,1993-05-30,True
Courtney,White,Cooley Square 79827,Moorebury,84152,Danmark,DK,19881028-5067,+45,(330)432-7798x3301,1988-10-28,True
Zachary,Simpson,Lisa Prairie 44499,Port Cassidybury,09967,Danmark,DK,19660510-2713,+45,+1-274-588-1090x065,1966-05-10,True
Lina,Eklund,Furuvägen 220,Västerås,11144,Sverige,SE,19740517-7478,46,0239-964 54,1974-05-17,True
Simon,Karlsson,Industrigatan 772,Karlskrona,55125,Sverige,SE,20001108-9292,+46,+46 (0)154 548 37,2000-11-08,True
Nora,Sundberg,Stationsstigen 105,Norrköping,92735,Sverige,SE,19680328-1194,+46,010-24 60 64,1968-03-28,True
Paula,Olsson,Bäckgatan 0,Nyköping,64303,Sverige,SE,19810227-5895,+46,0095-368 02,1981-02-27,True
Maria,Gustafsson,Backvägen 148,Örebro,12066,Sverige,SE,20000108-9110,+46,090-14 94 25,2000-01-08,True
Helene,Johnsen,Berntsenrøa 1,Holm,1748,Norge,NO,19610602-7169,+47,75396419,1961-06-02,True
Maria,Nilsson,Fabrikstorget 902,Östersund,25207,Sverige,SE,19730612-0599,+46,+46 (0)92 57 28 94,1973-06-12,True
Alexander,Andersen,Eidetunet 9,Aasen,2338,Norge,NO,19441110-0555,+47,58 15 24 55,1944-11-10,True
Åke,Berg,Furuvägen 8,Karlskoga,19246,Sverige,SE,19770626-5275,+46,08-010 045 96,1977-06-26,True
Lars,Axelsson,Parkgatan 8,Växjö,54921,Sverige,SE,19801109-3234,+46,08-547 10 47,1980-11-09,True
Stacey,Anderson,Roach Valleys 578,New Brett,71848,Danmark,DK,20000429-9265,+45,(232)792-3934x53451,2000-04-29,True
Megan,Morris,Smith Plains 453,Sandraburgh,49592,Danmark,DK,19630611-9576,+45,001-241-532-3218,1963-06-11,True
Klara,Grönlund,Industrivägen 0,Göteborg,15580,Sverige,SE,19620828-0280,+46,+46 (0)249 615 20,1962-08-28,True
Göran,Ljung,Granvägen 9,Trelleborg,83059,Sverige,SE,19790221-2684,+46,+46 (0)40 07 41 95,1979-02-21,True
Johannes,Hellström,Nytorget 76,Karlskrona,81212,Sverige,SE,19720913-7940,+46,08-357 39 09,1972-09-13,True
Dominique,Russell,Jennifer Locks 620,Lawsonbury,87269,Danmark,DK,19811231-3116,+45,534-811-2123,1981-12-31,True
Øystein,Myhre,Bergengen 145,Heidivik,2007,Norge,NO,19950412-1280,+47,22220269,1995-04-12,True
Per,Sæther,Nygårdstykket 814,Martinsen,9010,Norge,NO,19581207-9503,+47,57232473,1958-12-07,True
Malin,Ahlström,Björktorget 942,Trelleborg,33743,Sverige,SE,19460902-9681,+46,08-20 43 13,1946-09-02,True
Anna,Westin,Gengatan 1,Borås,72335,Sverige,SE,19960212-7236,+46,0396-31 38 73,1996-02-12,True
Olof,Johansson,Fabriksgatan 229,Stockholm,67568,Sverige,SE,19970221-5621,+46,0651-555 93,1997-02-21,True
Ludvig,Ismail,Ekstigen 30,Trelleborg,44629,Sverige,SE,19490504-1851,+46,08-486 232 29,1949-05-04,True
Jeff,Diaz,Christian Bridge 617,Paynehaven,06000,Danmark,DK,19780507-8783,+45,+1-471-421-1432x532,1978-05-07,True
Roar,Aasen,Alibakken 25,Henriksen,0587,Norge,NO,19640525-6646,+47,929 18 883,1964-05-25,True
Gunn,Holm,Jørgensenhøgda 4,Sandvik,0340,Norge,NO,19800228-4359,+47,88408056,1980-02-28,True
Robert,Campbell,Michael Haven 0988,Olsonville,52136,Danmark,DK,19440428-8793,+45,814-871-6848x69780,1944-04-28,True
Henrik,Nilsson,Björkstigen 01,Sandviken,60072,Sverige,SE,19640511-7044,+46,+46 (0)8 414 911 27,1964-05-11,True
Barbro,Nguyen,Skoltorget 1,Kristianstad,68620,Sverige,SE,19591007-8251,+46,0219-007 84,1959-10-07,True
Thomas,Singh,Industristigen 849,Sandviken,28413,Sverige,SE,19601115-6102,+46,0181-42 61 90,1960-11-15,True
Kjersti,Solberg,Gulbrandsentjernet 90,Berntsen,7987,Norge,NO,19520619-2780,+47,45324298,1952-06-19,True
Linnea,Johansson,Parkvägen 4,Lidingö,41749,Sverige,SE,19861011-6868,+46,0720-633 95,1986-10-11,True
Peter,Backman,Aspvägen 676,Örebro,92093,Sverige,SE,19440510-2440,+46,079-202 31 81,1944-05-10,True
Helene,Pettersen,Alistien 5,Brekke,5949,Norge,NO,19570904-7369,+47,432 82 604,1957-09-04,True
Kåre,Holm,Edvardsenlyngen 4E,Eliassen,9849,Norge,NO,19881118-4727,+47,+47 90 94 88 95,1988-11-18,True
Martin,Hansson,Storgränd 5,Trollhättan,63733,Sverige,SE,19610815-0378,+46,058-39 44 31,1961-08-15,True
Emilia,Virtanen,Nervanderinkatu 134,Savukoski,26531,Finland,FI,19500104-203R,+358,+358 54 9906714,1950-01-04,True
Kjell,Forslund,Skolstigen 115,Varberg,16207,Sverige,SE,19460731-2765,+46,08-85 56 07,1946-07-31,True
Elly,Karlsson,Järnvägsgränd 7,Kristianstad,72183,Sverige,SE,19960527-2314,+46,08-909 861 14,1996-05-27,True
Carin,Högberg,Åkertorget 045,Norrköping,41211,Sverige,SE,19830908-9786,+46,+46 (0)774 355 17,1983-09-08,True
Maria,Robertsson,Backgatan 13,Landskrona,59960,Sverige,SE,19980720-5364,+46,091-166 84 01,1998-07-20,True
David,Anderberg,Kyrkgatan 832,Piteå,27076,Sverige,SE,19480929-7057,+46,08-76 31 38,1948-09-29,True
Piotr,Khan,Kyrkovägen 95,Alingsås,85422,Sverige,SE,19740918-7352,+46,08-297 09 27,1974-09-18,True
Astrid,Ødegård,Christensentunet 9,Larsen,3461,Norge,NO,19930105-4859,+47,79574183,1993-01-05,True
Maria,Jansson,Järnvägsstigen 581,Mölndal,43270,Sverige,SE,19780925-5695,+46,019-621 06 35,1978-09-25,True
Samuel,Jones,Dennis Coves 3834,Anthonyshire,93943,Danmark,DK,19880319-3360,+45,789.317.6448,1988-03-19,True
Sindre,Johansen,Ahmedlunden 6,Sverrefjord,3888,Norge,NO,19430710-8032,+47,+4740179058,1943-07-10,True
Axel,Petersson,Granstigen 246,Kristianstad,75697,Sverige,SE,20000927-7293,+46,053-04 79 37,2000-09-27,True
Roar,Tangen,Nilsenhaugen 209,Kimmark,9693,Norge,NO,19921122-5777,+47,71 74 47 95,1992-11-22,True
Brooke,Meyer,Reid Freeway 1976,Alanfort,39427,Danmark,DK,19870818-0498,+45,559.262.6939,1987-08-18,True
Catherine,Hawkins,Mclean Plaza 39760,West Michaela,67186,Danmark,DK,19701014-5616,+45,(719)652-8644x326,1970-10-14,True
Michael,Ford,Derek Ridge 472,Atkinsonland,92288,Danmark,DK,19411129-6874,+45,001-412-738-0038x7104,1941-11-29,True
Sven,Asplund,Skolgatan 86,Göteborg,84731,Sverige,SE,19510508-1068,+46,+46 (0)121 236 96,1951-05-08,True
William,Floyd,Nash Underpass 829,East Markville,16336,Danmark,DK,19771121-6989,+45,489-231-2110,1977-11-21,True
Ivan,Hansson,Industrigränd 146,Trelleborg,31123,Sverige,SE,19820902-8405,+46,+46 (0)43 85 80 04,1982-09-02,True
Chad,Jackson,Lucas Isle 14396,Haynesmouth,52521,Danmark,DK,19531213-9295,+45,(783)751-9096,1953-12-13,True
Alexander,Andersson,Parktorget 026,Södertälje,27276,Sverige,SE,19640424-1293,+46,08-100 98 50,1964-04-24,True
Elisabet,Mohammed,Granstigen 68,Mölndal,74217,Sverige,SE,19700608-0507,+46,08-363 62 74,1970-06-08,True
Maria,Karlsson,Grangränd 97,Alingsås,84355,Sverige,SE,19760105-2835,+46,+46 (0)310 921 41,1976-01-05,True
Mona,Sørensen,Svendsenberget 9,Kimbø,3093,Norge,NO,19450412-6614,+47,56 07 60 97,1945-04-12,True
Einar,Eide,Haugengjerdet 6,Eivindbø,2833,Norge,NO,19820811-7230,+47,81865364,1982-08-11,True
Jörgen,Larsson,Nygatan 7,Stockholm,69105,Sverige,SE,19641208-0998,+46,0303-07 86 25,1964-12-08,True
Tom,Strid,Kyrkovägen 9,Skellefteå,49659,Sverige,SE,19630225-7699,+46,08-392 995 52,1963-02-25,True
Yvonne,Ali,Robert Ford 0063,Curtisborough,21260,Danmark,DK,19440306-8376,+45,+1-787-573-6612x6526,1944-03-06,True
Ragnhild,Antonsen,Nilsenstranda 3,Knuteid,1621,Norge,NO,19710518-5530,+47,99773757,1971-05-18,True
Ida,Larsson,Skolgatan 8,Göteborg,26754,Sverige,SE,19740502-4202,+46,+46 (0)78 19 25 38,1974-05-02,True
Lucas,Göransson,Granvägen 9,Eskilstuna,32673,Sverige,SE,19740428-5268,+46,0852-27 91 25,1974-04-28,True
Cecilia,Hosseini,Backtorget 9,Trelleborg,92706,Sverige,SE,19610102-8084,+46,08-968 713 86,1961-01-02,True
Linnéa,Rosenqvist,Fabriksgränd 3,Karlskoga,95585,Sverige,SE,19800704-0850,+46,038-63 14 23,1980-07-04,True
Stig,Nilsson,Backvägen 298,Jönköping,41028,Sverige,SE,19420109-1802,+46,033-005 61 44,1942-01-09,True
Dawn,Kennedy,Travis Junction 20194,North Roseville,08408,Danmark,DK,19621104-2980,+45,(952)815-7687x318,1962-11-04,True
Mona,Strøm,Hagenlunden 5,Emilieø,4939,Norge,NO,19811024-9248,+47,36 08 25 32,1981-10-24,True
Torill,Moe,Dahlengen 9E,Synnøvegrunn,1815,Norge,NO,19450217-1696,+47,40870351,1945-02-17,True
Carl,Bäck,Åkergränd 6,Trelleborg,91762,Sverige,SE,19761214-2778,+46,+46 (0)8 362 498 73,1976-12-14,True
Berit,Karlberg,Järnvägsgatan 112,Karlskoga,59206,Sverige,SE,19581011-0491,+46,006-721 05 33,1958-10-11,True
